EXR
TPC
SPXC
ALSN
JEF
ATUS
CHTR
VSM
RVBD
STLD
PWR
ESRX
UNFI
CHKP
NUVA
AMAG
AOL
EXAR
CABO
KWR
AGX
RJETQ
ITG
PPO
WCNX
FIT
ADPTQ
AMCC
P
FSL
LXP
PVR
CAG
THO
EDR
CTSH
EVTC
SMCI
BG
EV
EME
GCP
WINMQ
CG
NOVT
JHG
MSG
NE
FB
MATX
TIBX
CNK
ZBH
INVA
LOGM
DSW
MXWL
WPX
CNW
GATX
JNJ
CBS
CQP
BCO
BNNY
GRPN
RS
PTC
WYND
ENS
IOSP
FCS
CVA
CVD
BOX
CCC.1
DORM
CMG
FIX
NPO
GRA
AAXN
FFIN
DPZ
SAIC
CTL
VRTS
PG
GPT
KMG
EGHT
ANRZQ
GOGO
KMPR
ZU
ZUMZ
BTU
AX
PBI
TRIP
HR
SRCL
DCP
DLLR
IM
MWW
CTXS
REX
SCHL
WST
CUDA
TMHC
MWA
CEB
UFPI
IP
AM.2
MFA
ES
KBR
TSS
CINF
OUTR
WBC
VRNS
BHLB
FRO
DRYS
CHFC
KLIC
TE
EVBG
DIOD
SHOR
ARRS
MMYT
JAG
RUSHA
PEP
HCC.1
ECOL
CL
UNF
PCG
DELL
TWC
FRT
LSI
DD
KW
NPSP
TRGP
SHEN
RICE
IGT
QEP
HITT
CXP
AAOI
DLB
CAL
OFC
PIR
RHP
SNC
PGRE
DM
OMG
PKG
LSCC
ADS
CREE
PHM
ADI
WTW
EVHC.1
NOW
AL
WEC
CPT
RXN
STE
HLI
TXRH
ISSI
MWE
WWE
NSC
SLM
FANG
CR
HRL
BNCN
NFX
BEN
PDCE
CVGW
SSB
TUES
MDT
OPK
VZ
WDC
STNG
HTA
ARCC
SPSC
TER
XHR
ANSS
UNS
SUN
ATH
VST
ABMD
COO
FOXF
RAMP
CHH
IRF
ENTA
MIC
DHI
HFC
AFG
BBSI
TPH
MTG
ROSE.3
MSCI
CVS
GMCR
AEIS
LAZ
ICHR
AIRM
NWBI
IGTE
RKUS
HRI
EXTR
REMY
BABY
PCL
SPB
MKL
TDG
OKS
GKK
PNM
HLSSF
FDP
TRAK
MESG
MET
PBF
SLXP
BCC
BIP
AUXL
SCS
BHGE
SGEN
HELE
SNPS
ZLC
FIS
OUT
LTC
CPS
WBT
WFC
CIM
QLIK
SMLP
TEG
EXAM
MBFI
PPL
MNK
ABT
PMC
LO
KR
CVLT
BURL
PL
AVIV
CPLA
FNSR
SKYW
LPI
247680
WWD
GLW
ITRI
ESV
RMBS
GGP
SKT
VNRSQ
WAB
SVU
EE
GMH
EQM
SAAS
FTV
UTIW
WM
TMK
MDU
AFAM
RGEN
PSB
PACW
MMP
MO
BW
KRG
AMZN
STBZ
PEGA
Y
C
GNCMA
FTNT
CSOD
RWT
B0GRC9
ARII
FDS
EGP
WAGE
CARS
INCY
FTR
TAP
MANH
CNL
FBP
MEI
IDXX
ROKU
AKAM
MCO
WES.3
STAG
KMB
UMPQ
ALK
SEDG
LII
BRP
BBT
PTHN
DRII
ACGL
OEC
EBAY
SSEIQ
FII
TROX
GRT
ON
LEG
FWRD
BKI
ININ
HOME
AXL
MXL
BKD
RGLD
FHN
CHD
OMC
GD
LITE
TRNO
MAIN
BYI
ASNA
GBX
RL
ECL
LAMR
HSKA
PPS
XLS
SEAS
GTN
CBRL
WRB
SNCR
PAY
SOGCQ
LTRPA
BLKB
NGVT
CJESQ
BCR
AAL
SGMS
UCTT
MU
CMLP
MCK
SCCO
BETR
PRXL
ACO
NTRI
BIOS
CNDT
BGCP
SLG
MDVN
MKTO
CNSL
BF.B
UBSI
MOS
CSX
GS
WTFC
VAC
WOOF
F
ANIK
SCMP
TEAM
ALLE
ARR
GME
SIAL
AREX
EXXIQ
PK
RDN
OWW
PM
LSI.1
TRW
BIIB
HCSG
SRPT
SJI
ESRT
ADM
CYS
GGG
CUZ
WMT
MYCC
IHS
MDC
SWC
XLNX
GDDY
CTRX
WPZ
CERN
ARES
ACN
AMWD
DXCM
SFYWQ
RGSE
TWNK
MTX
HLX
BHF
AMTD
W
DDD
BCPC
JOE
ORB
ABCB
BCEI
MNTA
ELF
DE
BNCL
ARG
MEDP
ACC
FNF
ADVS
INGR
NAT
ORCL
CMC
SLB
SEM
XPO
GNW
SQ
TALO
ODP
CBF
LULU
RCII
SEIC
GEL
M
HBAN
JNS
ENDP
DRI
CLW
SEMG
FSCT
MAS
PFG
JCI
LYB
TCS
PETM
AXTA
BOKF
CNC
NEWP
WTR
URBN
PPBI
GTLS
SJM
HF
HQY
BUFF
TPX
PVAC
TNDM
EVH
TCF
IPCC
AHL
MSA
SHO
ACCL
HCC
RDFN
WES
OCLR
AAPL
ALKS
GXP
ZQKSQ
RSE
AVAV
SWKS
ECPG
BLOX
HAS
VWR
ITW
EL
CUTR
GNL
TPLM
JCP
WLL
OSK
TARO
IPGP
HAR
KEYW
WABC
TRMB
GEOS
AAP
JEC
SSYS
KNX
BDC
MELI
WGO
DEA
OSIS
DNDNQ
TMH
WRD
URI
HAL
OKE
GNRC
HTS
PNRA
ORIG
UBSH
ALR
CE
HNT
VAL
AMC
IXYS
FISV
TCP
MHO
PBCT
UTEK
PRA
CBRE
WBS
GCI
TDY
ACM
PNW
WSO
SHOO
YELP
VRTX
LPLA
CSGP
SODA
DLTR
COKE
CVG
ATVI
SLH
MOVE
EXLS
KLXI
CVNA
AVP
HPY
EQY
CMI
DGI
CNX
VRTU
ETP
ASB
AVY
CPN
EA
RDEN
BLK
BAH
DRH
CYTK
OC
FDC
BLD
AYI
CQB
277125
ALV
ARRY
GBCI
AMH
KMX
NJR
EEFT
COST
STR
ABR
CCOI
APOL
ISIL
SIGI
MAC
TRLA.2
SRC
RCL
INOV
FRAN
WING
COLB
BWLD
SSTK
MC
NWE
BRK.B
EGBN
AME
TRMK
RGP
ROK
ANF
CBL
BLL
SKX
DO
ILG
ENBL
FLR
LUV
WDR
AMN
SUNEQ
MDLZ
KDP
CTAS
UIS
BKH
RNG
AIG
STOR
OSPN
DIS
B
MTOR
KS
EXAS
SSNC
HCI
UPLMQ
HGV
WLH
PCYC
CHGG
NKTR
ESINQ
APOG
TIVO.1
PENN
RH
INFN
HT
CATY
DST
PSTG
WMC
RRC
ROP
FL
POR
TFCFA
ZEN
DYN
MKTX
NPTN
MPLX
PLUG
CARG
CNP
LM
HMST
WD
CNA
FRX
BC
SCHW
CDK
FDX
CTRL
NBR
NPBC
EGN
STMP
HLT
PLNT
HUM
NAVI
WERN
SNDR
VNTR
SFLY
RAD
CAMP
MDSO
INFI
DISH
FUN
BKE
CYBR
ATSG
HTGC
PRLB
IGT.1
GPK
JAH
CZR
INXN
NKE
WLTGQ
ECHO
PINC
ZG
NMIH
DWDP
ANDV
GES
WAFD
TWI
SMTC
GPRO
RNR
RGA
CSE
ROG
TEX
TSN
DVA
PJT
GCO
CMO
EAT
CPB
LCI
REG
REGI
KCG
TTD
MSFT
BJRI
MBBYF
WTM
V
WSTC
GWR
FMCC
CFN
REXXQ
HOS
KMR
TCO
FBHS
CBOE
PDM
LPX
PLCM
DDS
RP
SPPI
GLOG
MTB
KING
ARLP
USNA
SCI
USCR
OCN
CYH
NVDA
EXEL
SUPN
TDC
GK
ADC
CPRI
UTX
PYPL
ACAT
PAGP
SPG
HOG
DATA
COLM
WWW
ZTS
MEG
CRR
RDWR
IQV
CVT
SHAK
UNIT
TPR
HRS
ABAX
HK
THOR.1
AEL
MA
EVEPQ
OLN
ROST
LL
WP
HPG
GSM
TECD
BAS.1
TRUP
XEL
FITB
WDAY
DNR
NEWM
AZO
PVAHQ
XCRA
MONT
UNP
GLUU
WPC
ASIX
NSR
AMBC
MTSI
BRO
INSY
SGH
T
ARIA
ATKR
CRI
CENX
MINI
DF
BIVV
AN
REGN
DCT
TGNA
NTCT
CDW
IBP
ABG
WAT
CSIQ
EFX
FMBI
PRAA
ZNGA
DK
KEYS
OSUR
NXST
JNPR
QTWO
MMM
ITT
VMW
WNR
UNVR
ICON
CVRR
MGM
QTS
ALB
BERY
TJX
KRO
SPWR
FCFS
LKQ
RTN
AGNC
EBIX
SITE
GTATQ
CALL
TMST
YRCW
ISRG
CCL.U
SHLDQ
XON
PES
BDBD
MPSX
OVTI
HUBG
QDEL
NEE
AEC
WPP.2
ACHC
PDCO
MAA
EWBC
LNG
EPC
DHT
XOG
ACCO
BOOT
SRCI
SSP
EPE
PRGO
AIZ
SHLM
CAA
RE
CLB
TSLA
BIG
TXT
VRSK
ATU
APPN
LXFT
HTWR
ACAS
ISBC
EOG
PLT
INN
NSIT
FNGN
NAV
SPR
TGI
RHT
IONS
CUB
HHC
MDCO
ORI
LPT
STZ
ROIC
ALE
FIVN
BL
SIVB
TPRE
HWC
CHS
NRZ
SNOW
MS
SFIX
SHLX
BHC
HIG
LQ
DOC
ANDE
DXPE
BKU
TXI
AKS
AGCO
YEXT
WNC
SAIA
ARCB
MEMPQ
UPL
RES
VA
COTV
FPRX
VSH
SYMC
RENT
SDLP
GPC
ATMI
IEP
OMF
HAE
EIGI
CVC
UPS
OA
BOH
BBY
LINEQ
APL
DSX
AVOL
CALD
TEP
POM
KSS
OAS
XRAY
OZK
PNK
CCI
BEAM
FULT
IFF
CNS
MBI
KEX
WRE
TTEK
CFNL
APU
DHCPQ
BRLI
ZOES
AMG
OXY
TWOU
NEM
RLJ
DTE
WTI
PTRY
APC
RTI
ZION
SYA
AYR
HA
SITC
BFAM
SC
RF
PZZA
TLN
CELG
IMS
NGLS
SPLS
MMS
NYCB
SRG
FMC
HI
AAWW
MULE
APAM
COP
PBH
NVCR
ADBE
SPNC
UVV
XOOM
OLED
SUM
ARCH
CROX
CAM
CAT
CIEN
BWXT
LAD
USB
HNI
MPW
UAL
AZPN
ATHN
ADSW
NWL
PNY
TCMD
EPAM
GIII
FNB
INFA
LNKD
ORC
APLE
PNR
BWP
EQT
CPWR.1
PLCE
CHMT
AHD
SCAI
PGND
BECN
SBAC
AYX
ACIIQ
SNAP
JBT
USG
AWHHF
CTLT
BAP
XYL
FFIV
HE
SON
HL
ANGI
CFR
ULTA
MWIV
ENTG
BDX
NLSN
WDFC
IPG
CLDT
DWRE
UVE
GWW
FDO
LRCX
NOV
VVUS
ARCO
FCH
MDXG
WGL
MAT
STI
ET
TREX
RAX
SPH
MDB
GKOS
ACLS
SCOR
OKTA
NCR
PGEM
EMC
HUBB
CHDN
NMBL
VGR
NFG
FFBC
FIZZ
CMCSA
TWTC
HSIC
CSII
MSM
SNBR
AEO
TRCO
PF
GLFMQ
CJ
IDTI
SBY
AVNS
EPB
CYT
AMGN
CWH
BNFT
COTY
BGC
ESNT
MLHR
REVG
CCP
CSH
AMD
MDR
PSEC
CBI
B0J2NQ
HRC
PII
G
MSCC
KATE
HON
ATML
QCOM
CYNO
RSG
UAA
ESL
LNCOQ
RGR
CLX
NOMD
BRKS
GIMO
NLNK
NTAP
UNT
WEN
SALE
TILE
CMD
SFL
IART
MMSI
LQDT
MNST
ARMK
XENT
CYN
CRC
TIVO
AGN
WRLD
APO
WWAV
SYK
CVI
HOPE
CVCO
CRL
MTH
LVS
OXM
AROPQ
NYT
RRGB
EVR
NLY
ENLC
VRNT
PRU
PHH
WLTW
ALL
CEIX
AAT
KFN
TTWO
RAI
VER
EPR
GWB
ALRM
PFE
PXD
OSTK
INFO
BMR
ANTM
FLEX
MED
SMG
ALLY
BGS
RYAM
HUN
CFX
SEND
CNQR
SLCA
TGH
DAN
CHSP
HNGR
AWAY
MGAM
OMI
FR
BRCM
MCRS
STAR
GLPI
ZAGG
IBTX
R
ENH
PFGC
SRI
HSP
HP
APA
CLGX
CSTE
AOS
CACI
MGLN
WBMD
MTDR
WIX
PRGS
ASH
NOC
APD
MOH
CMP
LH
ALJ
HZN
MTGE
CW
PKY
HOT
LGND
SRNE
KO
OZM
SCG
SEP
MCD
VECO
DY
TEN
KMI
CLI
ARGO
AMBA
DGX
BBEPQ
CAVM
BEAV
CNVR
SUSQ
DPLO
CCK
TISI
LNT
LTXB
DNB
MRC
MDP
STX
SWFT
GLBR
HOLI
ETN
SSI
IEX
CF
COHR
HIW
PAG
RSPP
AKR
PJC
BAC
NTI
PCP
CMA
RLI
HIIQ
JPM
SWCH
CBPX
GWRE
SHW
CPHD
WCC
ZLTQ
JBLU
PEIX
BRX
BYD
RPD
ICUI
OHI
NDAQ
NRP
KNL
AOBC
SNHY
TWO
MCRN
EVER.3
UE
LLTC
PKI
GM
FNMA
WTTR
SNV
NEWR
POL
CNO
AEGR
CEQP
THS
EPL
D
AXLL
HME
WEX
LNN
EVRG
NSP
LFUS
SINA
CCEP
AIV
BPOP
ARW
GPN
APH
EYE
CIT
RLGY
CBSH
ELLI
EQC
MAR
SBUX
CDE
CPRT
NEP
HEAR
WRI
HPK
PRAH
GTI
TW
CXO
CRZO
HPT
SYY
PATK
NDLS
WMB
VVC
SIRI
OCR
FLO
BEE
INT
LDRH
KMP
NTB
WCIC
HALO
EW
ATR
TRV
HEES
MIME
EGRX
GCAP
GDPMQ
AMT
POST
COMM
CORT
IMAX
CLNE
AMAT
MCY
AA
JNY
OLLI
IVZ
JACK
SBRA
XPER
GRMN
CLH
S
VFC
ARPJQ
KSU
EIX
KKD
ASRT
VR
ARI
QCOR
VSTO
JELD
FIO
HAIN
REN
KND
PE
ADTN
BRS
MCHP
SSD
VNO
FCEL
UGI
HEI
WMGI
CPGX
FRED
COG
OGS
NRF
PAYX
SXC
MFRM
PDLI
ARAY
DIN
AAN
JOY
BGFV
DKS
NORD
EGOV
FI
ADNT
MRVL
FGEN
GNC
CBST
USFD
LW
TTMI
PSXP
KFY
SWM
MSTR
VIRT
UNM
THC
AVNR
NMM
ALXN
AWI
ST
VMC
EXPO
JAZZ
WSM
AAC
NYRT
SFR
ORBK
BRCD
TVPT
COL
HURN
TLRD
MM
PLAY
ILMN
MSI
I
VOCS
ETR
UTHR
DLR
VNDA
PPG
MDCA
PLL.1
ATW
WELL
DRC
RRR
PRE
AB
LF
DCI
GPRE
LEA
ULTI
PACB
MGI
RMP
PTEN
CA
RASF
EMES
VMI
N
RGNX
IPHI
AR
GNTX
CPA
YDKN
APRN
AZZ
FIG
ETM
PRI
INTU
RIG
TQNT
JJSF
AMP
AES
DWA
AER
FNFG
CKEC
EXL
XOM
HPE
LGCY
NTNX
TNK
SERV
LOCO
CSCO
XL
CSRA
SR
ETFC
OPEN
HCBK
ENV
HST
GOOS
CWEI
HCP
EMN
CRM
SNA
BZH
HRB
MGRC
MENT
EBS
FN
EPD
BK
LSTR
SIG
HPP
CWEN
ROLL
RPTP
FTI
CRUS
SFG
EXPR
QLYS
MCPIQ
FEIC
PLKI
HIBB
AY
ENLK
HPQ
ENR
SSNI
RYN
GOOGL
WFM
SUI
FCX
DRIV.1
GDEN
GEO
AGN.2
HAWK
SIMG
UMBF
ZINCQ
CHUY
ALTR
RUN
KWKAQ
SNX
MEAS
PNC
BXP
MYGN
DVN
CB.1
NBIX
JUNO
AWK
ADT.I
FEYE
FAST
ROCK
SANM
BMCH
BIO
MRO
ANET
MIK
CLR
WEB
IVR
BOBE
BA
NRG
K
VAR
KMT
BKW
TTS
KAMN
BWA
HTZ
ROL
TREE
POWI
VVV
IPI
CLDR
FSLR
NUAN
PCH
ESI
HBI
IMPV
MB
NANO
SXT
SONC
FLS
SYF
NATI
SDRLF
BX
TXN
ICPT
ARNA
AEP
GILD
MIDD
MLM
BMY
SFNC
TERP
TVTY
GAS
CTCT
ABC
TWLO
PCAR
MYL
WRK
CHE
SPGI
NCLH
KKR
PNFP
BID
CSFL
CTRE
GDI
LMT
NM
TLMR
PEN
IIVI
STC
GDOT
CPPL
HPTX
CNNE
HMSY
ANDX
AIT
TSRO
NIHDQ
AF
IMGN
O
X
CORE
PRTY
EQIX
SPN
SNDK
CHRW
NXGN
XCOOQ
AFFX
CVIA
LEXEA
BCOR
HCLP
OAK
MMC
FIBK
COF
SBNY
SNI
POWR
VEEV
LXK
TYL
HOV
RPT
STT
ITC
VG
SAVE
DRE
ACOR
PMT
GMS
RBBN
ERI
DISCA
DBD
ASPS
BTUUQ
PEGI
BXMT
LECO
IAC
BLMN
AGO
JBHT
FRGI
SO
DFT
INVN
ABBV
SRE
TIF
MACK
SSW
MGP
KAR
AMKR
CLC
DRQ
GLIBA
NFLX
GHC
EQR
NXPI
EHC
OPWR
NSM
GPOR
SHOP
PAYC
CMS
INST
HOMB
LNC
BSFT
EXC
POOL
HABT
CLF
DLX
ETH
OPI
XRX
HSNI
WLK
CWT
GVA
LLL
SYNH
FHB
PLD
MGPI
TUSK
PEG
WCG
WTS
VLO
TDOC
TDW
LDOS
SWY
PEI
JLL
PVTB
SBGI
SATS
A
HILL
YNDX
PAA
CRS
QRVO
CI
IPCM
TAM
EROS
ATO
SBCF
ROC
AROC
ENVA
KTOS
TSCO
THRM
MJN
VNOM
MTD
AKRX
PB
BGG
BAX
HTLD
CST
OGE
EXPD
HDP
MASI
CATM
ICE
ANN
FCB
HPR
YUMC
HES
CAR
IR
BKNG
AVB
NEOG
CADE
OMCL
ARUN
DAR
WMS
ACAD
SAPE
LADR
SPLK
NNN
INGN
ZAYO
BLDR
ESC
TGT
AQUA
ORLY
PKY.1
VSI
ALOG
PH
SWI.3
BEAT
CHK
ADP
AET
FICO
VRSN
LOPE
MON
STWD
WBA
ELS
TWTR
MRH
IBM
ANIP
APFH
CRAY
MRCY
AJG
REXR
ITMN
RATE
HII
PVH
SM
OI
JW.A
FRAC
KN
FOSL
ALGT
YUM
BDN
SDOCQ
LOCK
LEU
EHTH
RRD
PGR
CALM
ADSK
DOX
QUOT
ELY
XXIA
GHL
NTRS
LANC
AMCX
DFS
MTW
UHAL
AVA
CSTM
HLF
PCRX
CUBE
TUMI
KRC
EDE
GTT
CDEV
DMND
PTCT
OCSL
SABR
QRTEA
KEY
VC
ETSY
MNRO
TKR
LPNT
NVGS
IRT
TOL
FET
GT
WOR
AMED
SNH
FORM
HXL
SAFM
JWN
NS
