ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
NS,NuStar Energy L.P.,NS.3Q16,2100,2120,3Q16,2016/3F,13.3,11/02/2016,3,9/30/2016,0.50,0.49,0.52,2.355,49.58,2.366,47.54,2.341,49.39,1.3765335,-3.745693,-2.820927,3.055656,-1.1961102,-1.6424477,13.0,17.7,22.1,6.424652998,6.917680883,6.729250955,50.5,50.4,1.80,1.96,0.591608,3075.11,2084.04,1745.5643,0.047,0.050,0.047,-0.002,-1.679,-2.550,-1.178,-0.260930414,-0.410567519,-0.071270689,-0.045264764,-0.16,6.23,-0.25,1.942,-3.489,-43.23571189,11/1/2016,11/7/2016,10/26/2016,11/4/2015,10/5/2016,9/28/2016,8/3/2016
BPOP,"Popular, Inc.",BPOP.3Q16,4800,4810,3Q16,2016/3F,23.1,10/25/2016,2,9/30/2016,0.88,0.88,0.85,3.502,38.22,3.507,37.86,3.438,32.25,30.105341,17.395353,-1.6495585,5.008626,-1.3757706,-0.018048286,2.2,2.0,2.5,1.320704169,1.443048964,1.273736831,40.0,36.7,1.28,1.28,0.44095856,1338.11,1928.52,1912.375,0.092,0.093,0.107,0.014,25.097,18.771,-1.632,0.10081556,-0.125304289,-0.084782151,0.036873659,0.00,5.65,-8.33,0.508,3.529,42.91612797,10/24/2016,10/28/2016,10/18/2016,10/27/2015,9/27/2016,9/20/2016,7/26/2016
MD,"MEDNAX, Inc.",MD.3Q16,3350,3365,3Q16,2016/3F,41.9,10/27/2016,4,9/30/2016,1.11,1.11,1.12,4.456,66.25,4.480,66.96,4.430,69.93,-7.466668,-4.247105,1.5622616,3.3689141,-1.3340473,-1.7566442,15.7,12.2,13.0,9.299573686,10.22942234,8.731996202,74.5,76.9,1.60,1.60,0.47056198,2438.91,2779.99,3185.3743,0.067,0.067,0.063,-0.004,-10.836,-2.913,3.319,0.283543929,0.21018676,-0.09089943,0.06499974,0.00,11.33,3.16,0.166,-0.645,30.60647174,10/26/2016,11/1/2016,10/20/2016,10/29/2015,9/29/2016,9/22/2016,7/28/2016
TSCO,Tractor Supply Company,TSCO.3Q16,3500,3540,3Q16,2016/3F,139.6,10/20/2016,4,9/30/2016,0.66,0.66,0.72,3.536,67.35,3.543,67.38,3.650,89.74,-25.016476,-24.916428,-2.4326682,6.4611435,-1.4528751,-0.67356825,3.4,6.5,5.4,4.563484202,4.542804871,4.931522864,82.0,102.0,1.52,1.35,0.4906766,5711.71,6226.5,6719.6455,0.053,0.053,0.041,-0.012,-31.478,-23.464,-1.759,-0.486260525,-0.375190529,0.004552106,-0.07462982,0.17,21.68,24.41,-0.523,-8.758,17.64682556,10/19/2016,10/25/2016,10/13/2016,10/22/2015,9/22/2016,9/15/2016,7/21/2016
OLLI,Ollie's Bargain Outlet Holdings Inc,OLLI.3Q16,3500,3515,3Q16,2016/3F,21.4,12/08/2016,4,9/30/2016,0.14,0.14,0.14,0.995,26.21,1.023,29.45,0.987,26.2,68.911,12.404585,14.147293,6.107521,0.8220196,5.5709004,13.3,19.3,12.9,16.44363233,17.83468152,21.37567218,30.6,30.3,1.20,1.22,0.42163703,638,762.37,885.7,0.038,0.035,0.038,0.003,62.803,11.583,8.576,-0.310563966,0.035881078,-0.077996862,-0.230731451,-0.02,3.75,-1.00,1.449,1.613,38.82445141,12/7/2016,12/13/2016,12/1/2016,12/10/2015,11/10/2016,11/3/2016,9/8/2016
TUP,Tupperware Brands Corporation,TUP.3Q16,1200,1250,3Q16,2016/3F,31.7,10/19/2016,3,9/30/2016,0.80,0.80,0.81,4.586,65.37,4.598,64.51,4.497,62.55,6.0023427,3.1334996,1.9920945,7.3607445,-1.4878452,0.6853342,7.0,9.9,5.4,7.234185666,7.493299701,10.41588959,63.1,61.6,2.00,2.00,0.4082483,2606.1,2283.8,2245.572,0.070,0.071,0.072,0.001,-1.358,4.621,1.307,-0.299498383,0.295261478,-0.03457943,-0.305466365,0.00,-2.12,-2.40,-0.190,-1.100,-13.83400483,10/18/2016,10/24/2016,10/12/2016,10/21/2015,9/21/2016,9/14/2016,7/20/2016
POL,PolyOne Corporation,POL.3Q16,2200,2210,3Q16,2016/3F,14.7,10/26/2016,3,9/30/2016,0.55,0.56,0.56,2.364,33.81,2.368,31.15,2.333,36.71,3.5649538,-15.145737,-2.7474225,4.2482853,-1.0096967,-0.8828461,2.5,4.5,3.2,2.478187907,1.888073234,2.074979732,39.6,40.1,1.45,1.45,0.4719399,3835.5,3377.6,3343.5557,0.070,0.076,0.064,-0.012,-0.683,-14.136,-1.865,-0.43602069,-0.21438775,0.312548614,0.194319091,0.00,27.04,1.44,-1.802,-1.802,-12.82608004,10/25/2016,10/31/2016,10/19/2016,10/28/2015,9/28/2016,9/21/2016,7/27/2016
UNIT,Uniti Group Inc,UNIT.3Q16,4800,4890,3Q16,2016/3F,36.9,11/14/2016,1,9/30/2016,0.02,0.01,0.02,0.138,31.41,0.144,27.46,0.147,30.45,55.16529,-9.819383,-7.2297335,3.9113522,-2.7828336,-1.6351283,3.8,3.6,5.3,2.09664272,4.118633324,3.017456389,33.3,32.4,1.13,1.21,0.35355338,703.13336,476.314,766.16016,0.004,0.005,0.005,0.000,51.254,-7.037,-5.595,0.058277206,-0.271649756,-0.490937271,-0.305162213,-0.09,21.09,-2.47,20.289,-9.861,8.963704979,11/11/2016,11/17/2016,11/7/2016,11/16/2015,10/17/2016,10/10/2016,8/15/2016
NRF,NorthStar Realty Finance Corp.,NRF.3Q16,4800,4890,3Q16,2016/3F,22.6,11/08/2016,2,9/30/2016,,0.10,0.03,-0.211,13.17,-0.075,14.37,-0.508,13.52,-30.207777,6.2869787,8.371043,2.8789878,-3.330952,-1.9625127,1.1,2.8,2.3,1.492841572,2.685234676,2.030833987,15.5,16.7,1.67,1.60,0.57735026,988.663,1817.43,1916.9,-0.016,-0.005,-0.038,-0.032,-33.087,9.618,10.334,-0.600952337,-0.522068341,-0.444055454,-0.26491206,0.07,7.86,7.86,0.000,0.000,93.8881095,11/7/2016,11/11/2016,11/1/2016,11/10/2015,10/11/2016,10/4/2016,8/9/2016
CNHI,CNH Industrial NV,CNHI.3Q16,1200,1220,3Q16,2016/3F,10.3,10/31/2016,1,9/30/2016,0.05,0.05,0.06,0.372,7.22,0.376,7.57,0.378,7.01,4.040408,7.988584,6.6197276,3.036189,-0.91377497,0.1388669,21.7,23.6,10.3,2.119416778,2.297369067,2.099847192,7.3,7.2,2.18,2.11,0.74926865,32555,25912,24509.684,0.052,0.050,0.054,0.004,1.004,8.902,6.481,-0.080139249,1.09890997,-0.077459165,0.009319529,0.07,-4.03,-0.77,-7.020,-18.258,-24.71299647,10/28/2016,11/3/2016,10/24/2016,11/2/2015,10/3/2016,9/26/2016,8/1/2016
