ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
CALM,"Cal-Maine Foods, Inc.",CALM.4Q14,2400,2410,4Q14,2014/2F,22.3,12/24/2014,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,1.01,0.76,0.75,29.60,5.03,-12.62,2.911,39.03,2.977,42.86,2.961,44.66,38.6119,-4.030448,0.3512144,12.374508,0.9305954,-1.5769124,11.3,5.1,4.2,17.23093649,13.32885565,3.007728912,44.3,43.0,1.50,1.50,0.70710677,1288.1,1440.9,,0.075,0.069,0.066,-0.003,26.237,-4.961,1.928,1.228105035,1.702685611,0.292754377,4.728886142,0.00,3.24,-2.82,33.333,34.667,,12/23/2014,12/29/2014,12/17/2014,12/25/2013,11/26/2014,11/19/2014,9/24/2014
CAMP,CalAmp Corp.,CAMP.4Q14,1300,1310,4Q14,2014/3F,14.0,12/24/2014,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.23,0.23,0.24,-34.57,-15.51,3.86,1.122,18.3,1.124,19.66,1.048,18.22,-25.985176,7.903409,10.760557,12.374508,0.9305954,-1.5769124,9.3,7.7,5.8,11.40413395,11.47883269,7.925807446,26.3,27.3,1.05,1.11,0.15811388,180.579,235.903,252.51956,0.061,0.057,0.058,0.000,-38.360,6.973,12.337,0.209876869,0.613245729,-0.006507521,0.438860838,-0.06,33.94,3.72,0.624,-5.005,39.83882954,12/23/2014,12/29/2014,12/17/2014,12/25/2013,11/26/2014,11/19/2014,9/24/2014
CAA,"CalAtlantic Group, Inc.",CAA.4Q14,1400,1415,4Q14,2014/4F,22.6,02/06/2015,5,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.76,0.76,0.77,-19.45,-15.23,-2.67,3.111,36.45,3.141,35.1,3.073,37.25,-14.450866,-5.771816,-3.3057988,13.284052,-1.6276658,-2.9094696,6.8,9.3,8.3,16.89319904,16.784311,17.61405883,44.5,45.8,1.57,1.57,0.47463116,1236.95,1939.51,2352.83,0.085,0.089,0.083,-0.007,-27.735,-4.144,-0.396,-0.262168142,-0.178362904,0.00648749,-0.040925252,0.00,26.78,2.81,-0.517,-1.999,90.21221553,2/5/2015,2/11/2015,1/30/2015,2/7/2014,1/9/2015,1/2/2015,11/7/2014
CPE,Callon Petroleum Company,CPE.4Q14,2100,2105,4Q14,2014/4F,12.8,03/05/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.07,0.07,0.08,-16.54,-53.22,-38.14,0.256,5.45,-0.031,7.4,0.399,4.78,0.8403301,54.811714,37.29129,9.368885,2.2170663,4.379666,3.6,2.3,3.8,7.677140482,9.596658162,12.85979573,9.1,11.1,1.13,1.22,0.29680842,110.8,102.569,158.05373,0.047,-0.004,0.083,0.088,-8.529,52.595,32.912,0.549744644,-0.037876161,-0.200019387,-0.403012253,-0.09,23.46,21.21,-6.282,-9.974,42.64777076,3/4/2015,3/10/2015,2/26/2015,3/6/2014,2/5/2015,1/29/2015,12/4/2014
CPN,Calpine Corporation,CPN.4Q14,4700,4705,4Q14,2014/4F,106.5,02/13/2015,5,12/31/2014,12/31/2013,6/30/2014,9/30/2014,-0.09,-0.10,-0.10,13.43,-7.06,1.98,0.997,22.13,1.032,21.28,1.046,23.6,4.7409654,-9.830504,-4.1009426,9.354806,1.0211587,0.7372856,2.9,3.2,4.5,4.064570847,4.639052211,4.496534267,25.6,25.8,1.25,1.41,0.4472136,5478,6301,6954.643,0.045,0.049,0.044,-0.004,-4.614,-10.852,-4.838,-0.104828599,-0.354994308,-0.123835934,-0.096065858,-0.16,20.17,0.89,-9.334,-6.025,26.95587806,2/12/2015,2/18/2015,2/6/2015,2/14/2014,1/16/2015,1/9/2015,11/14/2014
CPT,Camden Property Trust,CPT.4Q14,4800,4890,4Q14,2014/4F,52.3,01/29/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.50,0.56,0.65,29.82,3.78,7.75,1.959,73.84,1.957,80.2,2.015,75.67,20.240997,5.9865236,6.3096404,14.130378,3.4763098,-0.8483827,3.7,5.6,2.5,3.356544599,3.345245729,2.784870708,82.0,77.5,1.56,1.68,0.4963099,727.908,788.851,843.5792,0.027,0.024,0.027,0.002,6.111,2.510,7.158,-0.343369665,0.4696977,0.00337759,0.205278432,-0.12,2.20,-5.45,-11.008,-23.430,15.89090929,1/28/2015,2/3/2015,1/22/2015,1/30/2014,1/1/2015,12/25/2014,10/30/2014
CAM,Cameron International Corporation,CAM.4Q14,3100,3110,4Q14,2014/4F,183.8,01/29/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,1.20,1.21,1.22,-16.09,-26.23,-24.75,4.429,49.95,3.891,44.38,4.776,58.45,-17.20537,-24.071854,-11.434841,14.130378,3.4763098,-0.8483827,1.4,1.2,2.0,1.845546403,1.646835208,2.51186952,58.7,75.8,1.42,1.34,0.45643547,8502.1,9838.4,10562.95,0.089,0.088,0.082,-0.006,-31.336,-27.548,-10.586,0.175813949,-0.337742244,0.120662464,-0.265269797,0.08,32.31,29.00,-1.342,-1.932,24.23930558,1/28/2015,2/3/2015,1/22/2015,1/30/2014,1/1/2015,12/25/2014,10/30/2014
CPB,Campbell Soup Company,CPB.4Q14,2400,2405,4Q14,2015/2F,61.7,02/25/2015,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.66,0.68,0.69,1.66,-3.95,2.97,2.513,44,2.467,47.32,2.500,44.45,5.9422016,6.456685,0.4457593,8.0214615,1.5460253,3.5287857,8.3,9.9,14.5,7.848854114,7.327754307,8.134726202,42.7,41.2,2.25,2.19,0.5490634,8052,8268,8127.285,0.057,0.052,0.056,0.004,-2.079,4.911,-3.083,-0.158717023,-0.428887586,0.071113166,-0.035142189,0.06,-9.83,-3.52,-3.228,-3.808,0.934985097,2/24/2015,3/2/2015,2/18/2015,2/26/2014,1/28/2015,1/21/2015,11/26/2014
CSIQ,Canadian Solar Inc.,CSIQ.4Q14,1200,1235,4Q14,2014/4F,103.8,03/05/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,1.30,1.28,1.35,-18.88,-22.62,-32.37,4.744,24.19,4.644,29.57,4.695,23.81,-35.175236,24.191523,49.268044,9.368885,2.2170663,4.379666,1.4,2.0,1.5,10.1393605,13.22697449,10.86992541,43.3,43.3,1.10,1.13,0.31622776,1294.82,1654.35,2942.257,0.196,0.157,0.197,0.040,-44.544,21.974,44.888,-0.314990165,-0.078033161,-0.233433125,-0.067209744,-0.02,46.53,-0.18,1.676,-3.168,127.2328972,3/4/2015,3/10/2015,2/26/2015,3/6/2014,2/5/2015,1/29/2015,12/4/2014
COF,Capital One Financial Corporation,COF.4Q14,4800,4805,4Q14,2014/4F,241.3,01/23/2015,5,12/31/2014,12/31/2013,6/30/2014,9/30/2014,1.75,1.75,1.77,7.75,-0.06,1.14,7.707,82.55,7.733,76.65,7.731,79.27,17.911291,-3.305155,-7.0120096,15.955103,2.9519439,-2.3338735,2.2,2.4,1.8,1.030646536,1.023250205,0.979375933,92.0,92.1,1.36,1.31,0.46091044,21396,22384,22195.8,0.093,0.101,0.098,-0.003,1.956,-6.257,-4.678,-0.10881595,0.213939752,0.007228272,0.052350278,0.05,20.05,0.13,-0.035,-0.943,3.738081884,1/22/2015,1/28/2015,1/16/2015,1/24/2014,12/26/2014,12/19/2014,10/24/2014
