unique_earnings_code,hvol_20_120_F,hvol_10_60_F,h30_v_imp30_F
CVA.1Q14,0.017000000000000015,0.045999999999999985,-0.043999999999999984
HIG.1Q14,0.02880000000000002,0.028799999999999992,-0.056900000000000006
APTV.1Q14,0.012800000000000006,0.030299999999999994,-0.0582
DIS.1Q14,0.028700000000000003,0.03340000000000001,-0.03870000000000001
NPO.1Q14,0.034300000000000025,0.05679999999999999,-0.022399999999999975
SWI.3.1Q14,0.06460000000000002,0.09510000000000002,-0.018199999999999994
GMCR.1Q14,0.07929999999999998,0.12200000000000003,-0.02309999999999998
NEU.1Q14,0.08829999999999999,0.13340000000000002,-0.01990000000000003
CI.1Q14,0.08990000000000001,0.13830000000000003,-0.0605
ALTR.1.1Q14,0.07410000000000003,0.1013,-0.055400000000000005
STZ.1Q14,0.07170000000000001,0.11509999999999998,-0.1063
AX.1Q14,0.07319999999999999,0.09999999999999998,-0.135
CNX.1Q14,0.07120000000000001,0.026300000000000018,-0.09330000000000002
TRV.1Q14,0.0738,0.010499999999999982,-0.10229999999999997
DAR.1Q14,0.1058,0.05230000000000001,-0.044399999999999995
MSCI.1Q14,0.11029999999999998,0.05360000000000001,-0.03760000000000002
ISRG.1Q14,0.10060000000000002,0.018100000000000005,-0.0383
SANM.1Q14,0.10320000000000001,0.015100000000000002,-0.042300000000000004
NVR.1Q14,0.08129999999999998,0.014600000000000002,-0.04880000000000001
AOBC.1Q14,0.06109999999999999,0.013500000000000012,-0.042800000000000005
AAWW.1Q14,0.0388,0.022900000000000004,-0.0398
LSI.1Q14,0.011699999999999988,-0.051199999999999996,-0.048099999999999976
VVC.1Q14,0.005399999999999988,-0.09,-0.03260000000000002
GPRE.1Q14,-0.00940000000000002,-0.06819999999999998,0.18029999999999996
SWKS.1Q14,0.009699999999999986,-0.018100000000000005,-0.040700000000000014
WAGE.1Q14,0.010000000000000009,-0.0179,-0.05099999999999999
AMP.1Q14,0.02779999999999999,0.020600000000000007,-0.0368
JAH.1Q14,0.03720000000000001,0.034400000000000014,-0.06319999999999998
ACAS.1Q14,0.012200000000000016,0.03259999999999999,-0.0809
RKUS.1Q14,-0.010800000000000004,0.02689999999999998,-0.08289999999999997
AFSI.1Q14,-0.0007999999999999952,0.007500000000000007,-0.11010000000000003
TWX.1Q14,0.0022999999999999965,-0.021699999999999997,-0.09300000000000003
LL.1Q14,0.001700000000000007,-0.0242,-0.10160000000000002
SSNC.1Q14,0.0126,-0.1064,-0.010899999999999993
REG.1Q14,0.012200000000000016,-0.1537,-0.025400000000000006
WWD.1Q14,-0.012800000000000006,-0.05409999999999998,-0.03359999999999999
AWK.1Q14,-0.011499999999999982,-0.0476,-0.0383
LMT.1Q14,-0.0499,-0.0635,-0.0421
TIF.1Q14,-0.06090000000000001,-0.0922,-0.04569999999999999
BLL.1Q14,-0.021800000000000014,0.005399999999999988,-0.06969999999999998
EVR.1Q14,-0.022300000000000014,-0.03939999999999999,-0.12329999999999999
SAFM.1Q14,-0.021600000000000008,-0.027900000000000008,-0.1247
HOT.1Q14,-0.02159999999999998,-0.03320000000000001,-0.11860000000000001
EXPR.1Q14,-0.013000000000000012,0.0058,-0.12550000000000003
PEP.1Q14,0.013300000000000006,-0.006699999999999984,-0.07610000000000003
BAX.1Q14,0.010899999999999993,-0.007000000000000006,-0.09009999999999999
NAV.1Q14,0.06079999999999999,-0.07529999999999998,-0.10060000000000002
TREX.1Q14,0.0398,-0.09359999999999999,-0.14980000000000002
