ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
NOW,"ServiceNow, Inc.",NOW.1Q15,3300,3308,1Q15,2015/1F,87.7,04/17/2015,-6.2,0.00,0.01,0.01,0.6,5,4/16/2015,4/22/2015,-6.2,0.1,-6.3,26,4/10/2015,0.03,-0.04,0.07,0.193
SHW,Sherwin-Williams Company,SHW.1Q15,2200,2240,1Q15,2015/1F,189.5,04/16/2015,-2.2,1.44,1.38,-0.06,-1.8,4,4/15/2015,4/21/2015,-2.2,-0.5,-1.7,17,4/9/2015,1.50,1.36,0.14,-0.424
SFLY,"Shutterfly, Inc.",SFLY.1Q15,3200,3205,1Q15,2015/1F,25.4,04/30/2015,0.0,-1.32,-1.19,0.13,2.5,4,4/29/2015,5/5/2015,0.0,-0.9,0.9,12,4/23/2015,-1.21,-1.36,0.15,0.883
SSTK,"Shutterstock, Inc.",SSTK.1Q15,3300,3320,1Q15,2015/1F,25.2,05/07/2015,-4.1,0.24,0.25,0.01,2.4,4,5/6/2015,5/12/2015,-4.1,0.9,-5.0,7,4/30/2015,0.26,0.22,0.04,0.179
SIAL,Sigma-Aldrich Corporation,SIAL.1Q15,2200,2210,1Q15,2015/1F,93.9,05/07/2015,0.0,1.07,1.06,-0.01,0.0,4,5/6/2015,5/12/2015,0.0,0.9,-0.9,6,4/30/2015,1.12,1.02,0.10,-0.127
SBNY,Signature Bank,SBNY.1Q15,4800,4810,1Q15,2015/1F,34.3,04/21/2015,2.7,1.58,1.64,0.06,2.6,2,4/20/2015,4/24/2015,2.7,0.8,2.0,20,4/14/2015,1.69,1.53,0.16,0.351
SIG,Signet Jewelers Limited,SIG.1Q15,3500,3540,1Q15,2015/1F,95.7,05/28/2015,-2.5,1.61,1.62,0.01,-1.1,4,5/27/2015,6/2/2015,-2.5,-0.6,-1.8,11,5/21/2015,1.63,1.59,0.04,0.167
SLGN,Silgan Holdings Inc.,SLGN.1Q15,2200,2235,1Q15,2015/1F,16.8,04/29/2015,-2.9,0.27,0.27,0.00,-3.0,3,4/28/2015,5/4/2015,-2.9,-0.1,-2.8,11,4/22/2015,0.28,0.26,0.03,-0.103
SIMG,"Silicon Image, Inc.",SIMG.1Q15,1300,1305,1Q15,2015/1F,21.3,04/28/2015,#N/A,#N/A,#N/A,#N/A,#N/A,2,4/27/2015,5/1/2015,,-0.1,#VALUE!,5,4/21/2015,0.06,0.00,0.06,#N/A
SLAB,Silicon Laboratories Inc.,SLAB.1Q15,1300,1305,1Q15,2015/1F,14.6,04/29/2015,-1.7,0.46,0.54,0.08,2.8,3,4/28/2015,5/4/2015,-1.7,-0.1,-1.6,12,4/22/2015,0.47,0.44,0.03,2.816
