ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp,
RBC,Regal Beloit Corp,RBC.1Q14,1200,1210,1Q14,2014/1F,23.4,05/06/2014,1.1,1.03,1.04,0.01,0.9,2,5/5/2014,5/9/2014,1.1,-0.4,1.5,14,4/29/2014,1.07,1.00,0.07,0.092,
GPK,Graphic Packaging Holding Company,GPK.1Q14,2200,2235,1Q14,2014/1F,38.7,04/24/2014,1.7,0.13,0.13,0.00,1.2,4,4/23/2014,4/29/2014,1.7,0.0,1.7,7,4/17/2014,0.14,0.11,0.03,0.092,
MTH,Meritage Homes Corporation,MTH.1Q14,1400,1415,1Q14,2014/1F,27.3,04/23/2014,-10.9,0.64,0.62,-0.02,-6.9,3,4/22/2014,4/28/2014,-10.9,-0.7,-10.2,14,4/16/2014,0.74,0.54,0.20,-0.091,
PPS,"Post Properties, Inc.",PPS.1Q14,4800,4890,1Q14,2014/1F,32.2,04/29/2014,1.2,0.24,0.24,0.00,0.9,2,4/28/2014,5/2/2014,1.2,0.7,0.5,2,4/22/2014,0.27,0.22,0.05,-0.090,
TE,"TECO Energy, Inc.",TE.1Q14,4700,4705,1Q14,2014/1F,52.0,04/30/2014,-1.8,0.22,0.23,0.01,0.5,3,4/29/2014,5/5/2014,-1.8,0.4,-2.2,5,4/23/2014,0.26,0.19,0.07,0.089,
APL,"Atlas Pipeline Partners, L.P.",APL.1Q14,3100,3130,1Q14,2014/1F,20.2,05/06/2014,-4.0,-0.06,-0.10,-0.04,13.5,2,5/5/2014,5/9/2014,-4.0,-0.4,-3.6,7,4/29/2014,0.11,-0.30,0.41,-0.088,
MUR,Murphy Oil Corporation,MUR.1Q14,2100,2105,1Q14,2014/1F,64.9,05/01/2014,-4.1,0.99,0.96,-0.03,-2.2,4,4/30/2014,5/6/2014,-4.1,-0.9,-3.2,13,4/24/2014,1.14,0.82,0.32,-0.088,
CTAS,Cintas Corporation,CTAS.1Q14,3400,3450,1Q14,2013/3F,76.4,03/20/2014,-0.3,0.69,0.69,0.00,-0.4,4,3/19/2014,3/25/2014,-0.3,0.2,-0.4,1,3/13/2014,0.72,0.67,0.05,-0.087,
ZNGA,Zynga Inc. Class A,ZNGA.1Q14,3300,3320,1Q14,2014/1F,109.5,04/24/2014,-10.6,-0.01,-0.01,0.00,-1.5,4,4/23/2014,4/29/2014,-10.6,0.0,-10.6,24,4/17/2014,0.00,-0.02,0.02,0.085,
MDU,MDU Resources Group Inc,MDU.1Q14,4700,4735,1Q14,2014/1F,16.4,05/01/2014,-0.2,0.32,0.32,0.00,6.7,4,4/30/2014,5/6/2014,-0.2,-0.9,0.6,6,4/24/2014,0.35,0.30,0.05,-0.084,
CFR,"Cullen/Frost Bankers, Inc.",CFR.1Q14,4800,4810,1Q14,2014/1F,36.2,04/23/2014,-1.8,0.97,0.96,-0.01,0.3,3,4/22/2014,4/28/2014,-1.8,-0.7,-1.1,15,4/16/2014,1.04,0.89,0.15,-0.084,
EXPD,"Expeditors International of Washington, Inc.",EXPD.1Q14,4600,4605,1Q14,2014/1F,86.2,05/08/2014,7.4,0.42,0.42,0.00,0.2,4,5/7/2014,5/13/2014,7.4,1.0,6.4,18,5/1/2014,0.44,0.39,0.05,0.084,
FIO,"Fusion-io, Inc.",FIO.1Q14,1300,1345,1Q14,2014/3F,33.5,04/24/2014,-12.9,-0.09,-0.10,-0.01,3.9,4,4/23/2014,4/29/2014,-12.9,0.0,-12.9,22,4/17/2014,-0.04,-0.12,0.08,-0.084,
RMD,ResMed Inc.,RMD.1Q14,2300,2325,1Q14,2014/3F,83.9,04/24/2014,7.0,0.64,0.64,0.01,-0.6,4,4/23/2014,4/29/2014,7.0,0.0,7.0,13,4/17/2014,0.67,0.60,0.07,0.084,
MKTX,MarketAxess Holdings Inc.,MKTX.1Q14,4800,4840,1Q14,2014/1F,28.2,04/23/2014,-5.2,0.46,0.46,0.00,-3.0,3,4/22/2014,4/28/2014,-5.2,-0.7,-4.5,6,4/16/2014,0.47,0.45,0.02,0.083,
WABC,Westamerica Bancorporation,WABC.1Q14,4800,4810,1Q14,2014/1F,11.0,04/15/2014,-0.1,0.58,0.58,0.00,-1.5,2,4/14/2014,4/18/2014,1.3,1.9,-0.5,6,4/8/2014,0.59,0.57,0.02,0.083,
GBCI,"Glacier Bancorp, Inc.",GBCI.1Q14,4800,4810,1Q14,2014/1F,11.5,04/22/2014,-4.1,0.37,0.36,-0.01,-5.2,2,4/21/2014,4/25/2014,-4.1,-0.5,-3.6,8,4/15/2014,0.39,0.33,0.06,-0.083,
MDT,Medtronic plc,MDT.1Q14,2300,2325,1Q14,2013/4F,408.9,05/20/2014,-0.7,1.12,1.12,0.00,-0.3,2,5/19/2014,5/23/2014,-0.7,0.8,-1.5,21,5/13/2014,1.14,1.11,0.03,-0.083,
WSO,"Watsco, Inc.",WSO.1Q14,1200,1230,1Q14,2014/1F,39.1,04/17/2014,4.3,0.47,0.48,0.01,0.0,4,4/16/2014,4/22/2014,6.0,1.0,5.0,12,4/10/2014,0.53,0.40,0.13,0.083,
M,Macy's Inc,M.1Q14,3500,3515,1Q14,2014/1F,174.7,05/14/2014,0.4,0.59,0.60,0.01,-2.7,3,5/13/2014,5/19/2014,0.4,-0.6,1.1,20,5/7/2014,0.65,0.52,0.13,0.082,
VSAT,"ViaSat, Inc.",VSAT.1Q14,1300,1320,1Q14,2013/4F,15.0,05/21/2014,-6.3,0.09,0.10,0.01,-1.2,3,5/20/2014,5/26/2014,-6.2,1.5,-7.8,9,5/14/2014,0.16,0.00,0.16,0.081,
AMT,American Tower Corporation,AMT.1Q14,4800,4890,1Q14,2014/1F,266.0,05/01/2014,4.4,0.50,0.51,0.01,1.6,4,4/30/2014,5/6/2014,4.4,-0.9,5.3,17,4/24/2014,0.56,0.45,0.11,0.080,
NFX,Newfield Exploration Company,NFX.1Q14,2100,2105,1Q14,2014/1F,98.8,04/30/2014,4.2,0.42,0.44,0.02,8.7,3,4/29/2014,5/5/2014,4.2,0.4,3.8,19,4/23/2014,0.55,0.24,0.31,0.079,
CB.1,Chubb Corporation,CB.1.1Q14,4800,4855,1Q14,2014/1F,158.4,04/25/2014,0.4,1.56,1.50,-0.06,-2.6,5,4/24/2014,4/30/2014,0.4,0.2,0.2,21,4/18/2014,2.00,1.25,0.75,-0.079,
OAS,Oasis Petroleum Inc.,OAS.1Q14,2100,2105,1Q14,2014/1F,36.8,05/06/2014,1.4,0.63,0.65,0.02,4.0,2,5/5/2014,5/9/2014,1.4,-0.4,1.8,26,4/29/2014,0.74,0.50,0.24,0.078,
ALR,Alere Inc.,ALR.1Q14,2300,2325,1Q14,2014/1F,33.7,04/29/2014,-2.0,0.54,0.55,0.01,-2.9,2,4/28/2014,5/2/2014,-2.0,0.7,-2.7,7,4/22/2014,0.60,0.49,0.11,0.078,
ESL,Esterline Technologies Corporation,ESL.1Q14,1300,1330,1Q14,2014/2F,20.6,05/30/2014,0.6,1.30,1.28,-0.02,1.6,5,5/29/2014,6/4/2014,0.6,0.4,0.2,8,5/23/2014,1.45,1.21,0.24,-0.078,
DLR,"Digital Realty Trust, Inc.",DLR.1Q14,4800,4890,1Q14,2014/1F,136.8,05/07/2014,7.3,0.24,0.26,0.02,0.9,3,5/6/2014,5/12/2014,7.3,1.6,5.7,10,4/30/2014,0.34,0.12,0.22,0.077,
NLSN,Nielsen Holdings Plc,NLSN.1Q14,3200,3210,1Q14,2014/1F,102.0,04/24/2014,4.1,0.43,0.43,0.00,0.3,4,4/23/2014,4/29/2014,4.1,0.0,4.1,14,4/17/2014,0.46,0.40,0.06,0.075,
MM,"Millennial Media, Inc.",MM.1Q14,3300,3320,1Q14,2014/1F,6.7,05/08/2014,-33.6,-0.05,-0.04,0.01,-3.9,4,5/7/2014,5/13/2014,-33.6,1.0,-34.6,8,5/1/2014,0.01,-0.09,0.10,0.075,
MSI,"Motorola Solutions, Inc.",MSI.1Q14,1300,1330,1Q14,2014/1F,102.5,05/01/2014,4.4,0.51,0.50,-0.01,-1.3,4,4/30/2014,5/6/2014,4.4,-0.9,5.3,17,4/24/2014,0.58,0.49,0.09,-0.075,
UNH,UnitedHealth Group Incorporated,UNH.1Q14,3350,3355,1Q14,2014/1F,826.1,04/17/2014,-3.7,1.09,1.10,0.01,-1.0,4,4/16/2014,4/22/2014,-3.1,1.0,-4.1,21,4/10/2014,1.17,1.03,0.14,0.074,
MDC,"M.D.C. Holdings, Inc.",MDC.1Q14,1400,1415,1Q14,2014/1F,22.7,05/01/2014,0.9,0.18,0.19,0.01,-1.3,4,4/30/2014,5/6/2014,0.9,-0.9,1.7,8,4/24/2014,0.24,0.08,0.16,0.074,
WERN,"Werner Enterprises, Inc.",WERN.1Q14,4600,4615,1Q14,2014/1F,18.9,04/22/2014,-0.5,0.21,0.20,-0.01,-1.7,2,4/21/2014,4/25/2014,-0.5,-0.5,0.0,21,4/15/2014,0.26,0.17,0.09,-0.074,
WOR,"Worthington Industries, Inc.",WOR.1Q14,1100,1105,1Q14,2013/3F,16.3,03/27/2014,-3.6,0.58,0.60,0.02,2.1,4,3/26/2014,4/1/2014,-3.6,1.9,-5.5,1,3/20/2014,0.67,0.40,0.27,0.074,
THC,Tenet Healthcare Corporation,THC.1Q14,3350,3360,1Q14,2014/1F,63.4,05/06/2014,-2.2,-0.15,-0.12,0.03,0.9,2,5/5/2014,5/9/2014,-2.2,-0.4,-1.8,19,4/29/2014,0.06,-0.29,0.35,0.073,
MWA,"Mueller Water Products, Inc. Class A",MWA.1Q14,1200,1210,1Q14,2014/2F,11.7,04/30/2014,-3.4,0.07,0.07,0.00,-2.3,3,4/29/2014,5/5/2014,-3.4,0.4,-3.8,12,4/23/2014,0.09,0.06,0.03,0.073,
IGT.1,International Game Technology,IGT.1.1Q14,3400,3445,1Q14,2014/2F,88.4,04/23/2014,-12.4,0.19,0.20,0.01,2.8,3,4/22/2014,4/28/2014,-12.4,-0.7,-11.7,18,4/16/2014,0.31,0.17,0.14,0.073,
HAL,Halliburton Company,HAL.1Q14,3100,3110,1Q14,2014/1F,394.8,04/21/2014,4.3,0.72,0.73,0.01,1.2,1,4/18/2014,4/24/2014,4.3,0.7,3.5,32,4/14/2014,0.84,0.65,0.19,0.072,
SBUX,Starbucks Corporation,SBUX.1Q14,3400,3435,1Q14,2014/2F,699.5,04/25/2014,-0.7,0.28,0.28,0.00,-2.0,5,4/24/2014,4/30/2014,-0.7,0.2,-0.8,27,4/18/2014,0.30,0.27,0.03,0.071,
MDCO,Medicines Company,MDCO.1Q14,2300,2310,1Q14,2014/1F,32.3,04/23/2014,2.2,-0.06,-0.08,-0.02,1.3,3,4/22/2014,4/28/2014,2.2,-0.7,2.9,9,4/16/2014,0.07,-0.17,0.24,-0.071,
MMM,3M Company,MMM.1Q14,1200,1255,1Q14,2014/1F,534.2,04/24/2014,-0.3,1.80,1.79,-0.01,-1.8,4,4/23/2014,4/29/2014,-0.3,0.0,-0.3,12,4/17/2014,1.84,1.75,0.09,-0.070,
ALB,Albemarle Corporation,ALB.1Q14,2200,2210,1Q14,2014/1F,48.2,04/17/2014,1.2,0.95,0.96,0.01,-0.4,4,4/16/2014,4/22/2014,2.2,1.0,1.2,18,4/10/2014,1.03,0.88,0.15,0.068,
DVA,DaVita Inc.,DVA.1Q14,3350,3365,1Q14,2014/1F,105.4,05/02/2014,-3.1,0.86,0.85,-0.01,0.6,5,5/1/2014,5/7/2014,-3.1,-0.3,-2.8,13,4/25/2014,0.94,0.77,0.17,-0.067,
IMAX,IMAX Corporation,IMAX.1Q14,3400,3430,1Q14,2014/1F,13.8,04/24/2014,-9.2,0.06,0.05,-0.01,-3.7,4,4/23/2014,4/29/2014,-9.2,0.0,-9.2,13,4/17/2014,0.10,0.02,0.08,-0.067,
GGG,Graco Inc.,GGG.1Q14,1200,1210,1Q14,2014/1F,29.4,04/24/2014,-2.5,0.27,0.27,0.00,3.0,4,4/23/2014,4/29/2014,-2.5,0.0,-2.5,9,4/17/2014,0.29,0.26,0.03,-0.067,
JNS,Janus Capital Group Inc.,JNS.1Q14,4800,4845,1Q14,2014/1F,42.6,04/22/2014,4.5,0.16,0.16,0.00,1.7,2,4/21/2014,4/25/2014,4.5,-0.5,5.0,8,4/15/2014,0.17,0.15,0.02,0.066,
STLD,"Steel Dynamics, Inc.",STLD.1Q14,1100,1105,1Q14,2014/1F,77.4,04/17/2014,-1.9,0.17,0.16,-0.01,-1.5,4,4/16/2014,4/22/2014,-3.8,1.0,-4.7,16,4/10/2014,0.37,0.15,0.22,-0.064,
CNO,"CNO Financial Group, Inc.",CNO.1Q14,4800,4865,1Q14,2014/1F,28.0,04/28/2014,-2.9,0.28,0.27,-0.01,7.7,1,4/25/2014,5/1/2014,-2.9,1.0,-3.9,9,4/21/2014,0.32,0.24,0.08,-0.064,
ACN,Accenture Plc Class A,ACN.1Q14,3300,3308,1Q14,2014/2F,359.4,03/27/2014,-4.1,1.04,1.03,-0.01,-1.2,4,3/26/2014,4/1/2014,-4.1,1.9,-6.0,1,3/20/2014,1.10,1.01,0.09,-0.064,
EXPE,"Expedia Group, Inc.",EXPE.1Q14,3400,3450,1Q14,2014/1F,264.2,05/02/2014,-6.6,0.14,0.16,0.02,1.5,5,5/1/2014,5/7/2014,-6.6,-0.3,-6.3,23,4/25/2014,0.31,0.07,0.24,0.063,
ROC,"Rockwood Holdings, Inc.",ROC.1Q14,2200,2210,1Q14,2014/1F,68.7,05/07/2014,0.6,0.44,0.43,-0.01,0.2,3,5/6/2014,5/12/2014,0.6,1.6,-1.0,7,4/30/2014,0.51,0.37,0.14,-0.063,
VMI,"Valmont Industries, Inc.",VMI.1Q14,1200,1205,1Q14,2014/1F,37.0,04/23/2014,-4.9,2.15,2.20,0.05,-4.6,3,4/22/2014,4/28/2014,-4.9,-0.7,-4.2,10,4/16/2014,2.78,2.06,0.72,0.063,
DD,E. I. du Pont de Nemours and Company,DD.1Q14,2200,2210,1Q14,2014/1F,311.7,04/17/2014,-0.6,1.59,1.58,-0.01,-3.0,4,4/16/2014,4/22/2014,-0.5,1.0,-1.5,17,4/10/2014,1.68,1.55,0.13,-0.063,
SSTK,"Shutterstock, Inc.",SSTK.1Q14,3300,3320,1Q14,2014/1F,13.6,05/09/2014,-4.9,0.20,0.20,0.00,4.4,5,5/8/2014,5/14/2014,-4.9,0.6,-5.5,8,5/2/2014,0.22,0.18,0.04,-0.063,
MSCC,Microsemi Corporation,MSCC.1Q14,1300,1305,1Q14,2014/2F,17.7,04/25/2014,-8.2,0.51,0.51,0.00,0.2,5,4/24/2014,4/30/2014,-8.2,0.2,-8.3,8,4/18/2014,0.52,0.50,0.02,0.062,
WBA,Walgreens Boots Alliance Inc,WBA.1Q14,3500,3510,1Q14,2014/2F,534.1,03/25/2014,1.6,0.92,0.91,-0.01,-0.1,2,3/24/2014,3/28/2014,1.6,-0.1,1.8,1,3/18/2014,1.03,0.82,0.21,-0.062,
KMP,"Kinder Morgan Energy Partners, L.P.",KMP.1Q14,3100,3130,1Q14,2014/1F,139.6,04/17/2014,-1.7,0.70,0.73,0.03,7.1,4,4/16/2014,4/22/2014,-1.7,1.0,-2.7,11,4/10/2014,0.85,0.42,0.43,0.062,
HSY,Hershey Company,HSY.1Q14,2400,2410,1Q14,2014/1F,109.3,04/24/2014,-4.0,1.14,1.15,0.01,-2.1,4,4/23/2014,4/29/2014,-4.0,0.0,-4.0,16,4/17/2014,1.21,1.10,0.11,0.061,
MO,Altria Group Inc,MO.1Q14,2400,2430,1Q14,2014/1F,512.8,04/24/2014,4.7,0.57,0.57,0.00,-0.5,4,4/23/2014,4/29/2014,4.7,0.0,4.7,9,4/17/2014,0.58,0.55,0.03,0.061,
CME,CME Group Inc. Class A,CME.1Q14,4800,4840,1Q14,2014/1F,231.7,05/01/2014,-2.6,0.83,0.83,0.00,0.0,4,4/30/2014,5/6/2014,-2.6,-0.9,-1.8,16,4/24/2014,0.85,0.78,0.07,0.061,
